"run_init_utc","valid_time_utc","forecast_hour","filename","extension","url","local_path","success","attempts","remote_bytes","local_bytes","error"
"2026-03-04 00:00:00","2026-03-04 00:00:00",0,"WRF_cpt_07KM_2026030400_2026030400.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030400.ctl","data/WRF_downloads/20260304/h000/WRF_cpt_07KM_2026030400_2026030400.ctl",TRUE,1,7930,7930,NA
"2026-03-04 00:00:00","2026-03-04 00:00:00",0,"WRF_cpt_07KM_2026030400_2026030400.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030400.grib2","data/WRF_downloads/20260304/h000/WRF_cpt_07KM_2026030400_2026030400.grib2",TRUE,1,165653128,165653128,NA
"2026-03-04 00:00:00","2026-03-04 00:00:00",0,"WRF_cpt_07KM_2026030400_2026030400.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030400.grib2.idx","data/WRF_downloads/20260304/h000/WRF_cpt_07KM_2026030400_2026030400.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 01:00:00",1,"WRF_cpt_07KM_2026030400_2026030401.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030401.ctl","data/WRF_downloads/20260304/h001/WRF_cpt_07KM_2026030400_2026030401.ctl",TRUE,1,7930,7930,NA
"2026-03-04 00:00:00","2026-03-04 01:00:00",1,"WRF_cpt_07KM_2026030400_2026030401.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030401.grib2","data/WRF_downloads/20260304/h001/WRF_cpt_07KM_2026030400_2026030401.grib2",TRUE,1,202569786,202569786,NA
"2026-03-04 00:00:00","2026-03-04 01:00:00",1,"WRF_cpt_07KM_2026030400_2026030401.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030401.grib2.idx","data/WRF_downloads/20260304/h001/WRF_cpt_07KM_2026030400_2026030401.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 02:00:00",2,"WRF_cpt_07KM_2026030400_2026030402.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030402.ctl","data/WRF_downloads/20260304/h002/WRF_cpt_07KM_2026030400_2026030402.ctl",TRUE,1,7930,7930,NA
"2026-03-04 00:00:00","2026-03-04 02:00:00",2,"WRF_cpt_07KM_2026030400_2026030402.grib2","grib2","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030402.grib2","data/WRF_downloads/20260304/h002/WRF_cpt_07KM_2026030400_2026030402.grib2",TRUE,1,203422449,203422449,NA
"2026-03-04 00:00:00","2026-03-04 02:00:00",2,"WRF_cpt_07KM_2026030400_2026030402.grib2.idx","grib2.idx","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030402.grib2.idx","data/WRF_downloads/20260304/h002/WRF_cpt_07KM_2026030400_2026030402.grib2.idx",TRUE,1,2448,2448,NA
"2026-03-04 00:00:00","2026-03-04 03:00:00",3,"WRF_cpt_07KM_2026030400_2026030403.ctl","ctl","https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/04/00/WRF_cpt_07KM_2026030400_2026030403.ctl","data/WRF_downloads/20260304/h003/WRF_cpt_07KM_2026030400_2026030403.ctl",TRUE,1,7930,7930,NA
